player_name,challenge_wins,challenge_appearances,sit_outs,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,total_days,exile_days,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,season,episode
Greg,0.1666666667,0.5,1.0,,,,,3.0,,,3.0,0.0,1.0,6.0,0.1666666667,1,5
Gretchen,0.5,0.5,,,,,,3.0,,1.0,3.0,0.3333333333,1.0,6.0,0.1666666667,1,5
Joel,0.5,0.5,,,,,,3.0,,1.0,3.0,0.3333333333,1.0,6.0,0.1666666667,1,5
Dirk,0.0,0.5,1.0,0.0,4.0,6.0,1.0,3.0,,,3.0,0.0,0.0,6.0,0.0,1,5
Richard,0.3333333333,0.3333333333,,,,,,3.0,,1.0,6.0,0.1666666667,1.0,6.0,0.1666666667,1,4
Kelly W,0.3333333333,0.3333333333,,,,,,3.0,,1.0,6.0,0.1666666667,1.0,6.0,0.1666666667,1,4
Rudy,0.3333333333,0.3333333333,,,,,,3.0,,1.0,6.0,0.1666666667,1.0,6.0,0.1666666667,1,4
Sue,0.3333333333,0.3333333333,,,,,,3.0,,1.0,6.0,0.1666666667,1.0,6.0,0.1666666667,1,4
Sean,0.3333333333,0.3333333333,,,,,,3.0,,1.0,6.0,0.1666666667,1.0,6.0,0.1666666667,1,4
Colleen,0.0,0.3095238095,,1.0,2.0,7.0,1.0,3.0,,0.0,7.0,0.0,0.0,6.0,0.0,1,4
Gervase,0.0,0.3095238095,,0.0,,7.0,1.0,3.0,,0.0,7.0,0.0,0.0,6.0,0.0,1,4
Jenna,0.0,0.3095238095,,1.0,1.0,7.0,1.0,3.0,,0.0,7.0,0.0,0.0,6.0,0.0,1,4
Greg,0.0,0.3095238095,,0.0,,7.0,1.0,3.0,,0.0,7.0,0.0,0.0,6.0,0.0,1,4
Gretchen,0.0,0.3095238095,,1.0,,7.0,1.0,3.0,,0.0,7.0,0.0,0.0,6.0,0.0,1,4
Joel,0.0,0.3095238095,,1.0,,7.0,1.0,3.0,,0.0,7.0,0.0,0.0,6.0,0.0,1,4
Dirk,0.3333333333,0.3333333333,,,,,,3.0,,1.0,6.0,0.1666666667,1.0,6.0,0.1666666667,1,4
Ramona,0.0,0.3095238095,1.0,0.0,4.0,7.0,1.0,3.0,,0.0,7.0,0.0,,6.0,0.0,1,4
Richard,0.1428571429,0.2857142857,,1.0,,7.0,1.0,3.0,,1.0,7.0,0.1428571429,0.0,7.0,0.0,1,3
Kelly W,0.1428571429,0.2857142857,,0.0,,7.0,1.0,3.0,,1.0,7.0,0.1428571429,0.0,7.0,0.0,1,3
Rudy,0.1428571429,0.2857142857,,1.0,2.0,7.0,1.0,3.0,,1.0,7.0,0.1428571429,0.0,7.0,0.0,1,3
Sue,0.1428571429,0.2857142857,,1.0,,7.0,1.0,3.0,,1.0,7.0,0.1428571429,0.0,7.0,0.0,1,3
