season,episode,player_name,voted_off_next,total_days,exile_days,votes_for_bootee,votes_against_player,total_votes,tribal_council_appearances,challenge_wins,challenge_appearances,sit_outs,reward_chl_win,reward_chl_teammates,reward_chl_win_perc,immun_chl_win,immun_chl_teammates,immun_chl_win_perc,cumsum_total_days,cumsum_exile_days,cumsum_votes_for_bootee,cumsum_votes_against_player,cumsum_total_votes,cumsum_tribal_council_appearances,cumsum_challenge_wins,cumsum_challenge_appearances,cumsum_sit_outs,cumsum_reward_chl_win,cumsum_reward_chl_teammates,cumsum_reward_chl_win_perc,cumsum_immun_chl_win,cumsum_immun_chl_teammates,cumsum_immun_chl_win_perc
1,6,Gretchen,1,3.0,0.0,1.0,0.0,6.0,1.0,0.3333333333,0.5833333333,0.0,1.0,3.0,0.3333333333,0.0,4.0,0.0,18.0,0.0,3.0,0.0,21.0,3.0,1.2261904762,2.0714285714000003,0.0,4.0,36.0,0.9166666666,2.0,31.0,0.30952380960000003
1,6,Jenna,0,3.0,0.0,1.0,2.0,6.0,1.0,0.3333333333,0.5833333333,0.0,1.0,3.0,0.3333333333,0.0,4.0,0.0,18.0,0.0,3.0,3.0,21.0,3.0,1.2261904762,2.0714285714000003,0.0,4.0,36.0,0.9166666666,2.0,31.0,0.30952380960000003
1,6,Joel,0,3.0,0.0,0.0,4.0,6.0,1.0,0.0,0.5833333333,1.0,0.0,3.0,0.0,0.0,4.0,0.0,18.0,0.0,2.0,4.0,21.0,3.0,0.8928571429000001,2.0714285714000003,1.0,3.0,36.0,0.5833333332999999,2.0,31.0,0.30952380960000003
1,6,Kelly W,0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5833333333,1.0,0.0,3.0,0.0,1.0,4.0,0.25,18.0,0.0,1.0,0.0,21.0,3.0,0.8690476191000001,2.0952380952,2.0,2.0,34.0,0.30952380960000003,3.0,30.0,0.5595238096
1,6,Richard,0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5833333333,0.0,0.0,3.0,0.0,1.0,4.0,0.25,18.0,0.0,2.0,0.0,21.0,3.0,0.8690476191000001,2.0952380952,0.0,2.0,34.0,0.30952380960000003,3.0,30.0,0.5595238096
1,6,Rudy,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333,2.0,0.0,3.0,0.0,0.0,4.0,0.0,18.0,0.0,3.0,6.0,21.0,3.0,0.6190476191000001,2.0952380952,3.0,2.0,34.0,0.30952380960000003,2.0,30.0,0.30952380960000003
1,6,Sean,0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5833333333,0.0,0.0,3.0,0.0,1.0,4.0,0.25,18.0,0.0,2.0,0.0,21.0,3.0,0.8690476191000001,2.0952380952,0.0,2.0,34.0,0.30952380960000003,3.0,30.0,0.5595238096
1,6,Sue,0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5833333333,0.0,0.0,3.0,0.0,1.0,4.0,0.25,18.0,0.0,3.0,1.0,21.0,3.0,0.8690476191000001,2.0952380952,0.0,2.0,34.0,0.30952380960000003,3.0,30.0,0.5595238096
1,7,Colleen,0,3.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,3.0,31.0,4.0,0.5595238096,3.0714285714000003,3.0,2.0,37.0,0.25,2.0,31.0,0.30952380960000003
1,7,Gervase,0,3.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,1.0,31.0,4.0,0.8928571429,3.0714285714000003,2.0,3.0,37.0,0.5833333332999999,2.0,31.0,0.30952380960000003
1,7,Greg,1,3.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,31.0,4.0,1.5595238096,3.0714285714000003,2.0,3.0,37.0,1.25,2.0,31.0,0.30952380960000003
1,7,Gretchen,0,3.0,0.0,0.0,4.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,4.0,31.0,4.0,1.2261904762,3.0714285714000003,0.0,4.0,37.0,0.9166666666,2.0,31.0,0.30952380960000003
1,7,Jenna,0,3.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,4.0,31.0,4.0,1.2261904762,3.0714285714000003,0.0,4.0,37.0,0.9166666666,2.0,31.0,0.30952380960000003
1,7,Kelly W,0,3.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,31.0,4.0,0.8690476191000001,3.0952380952,2.0,2.0,35.0,0.30952380960000003,3.0,30.0,0.5595238096
